flight_number,rocket_type,launch_success,outcome_category,outcome_encoded,launch_datetime,launch_year,launch_month,launch_day_of_week,launch_hour,launch_quarter,days_since_previous_launch,years_since_first_launch,rocket_type_encoded,launch_site_encoded,orbit_encoded,rocket_config_encoded,launch_time_encoded,payload_mass_kg,payload_count,payload_complexity,payload_mass_normalized,is_multi_payload,payload_risk_score,experience_index,configuration_maturity,launch_frequency,is_monsoon_season
C29,PSLV,1,Success,2,2015-12-16 12:30:00,2015.0,12.0,2.0,12.0,4.0,79.0,22.237,0,0,3,3,1,622.2,1,0.482,0.26,0,0.271,32,11.0,4.0,0
C31,PSLV,1,Success,2,2016-01-20 04:01:00,2016.0,1.0,2.0,4.0,1.0,34.0,22.33,0,2,3,7,3,1425.0,1,0.717,0.595,0,0.465,33,11.0,1.0,0
C32,PSLV,1,Success,2,2016-03-10 10:31:00,2016.0,3.0,3.0,10.0,1.0,50.0,22.47,0,2,3,7,0,1425.0,1,0.717,0.595,0,0.465,34,12.0,2.0,0
C33,PSLV,1,Success,2,2016-04-28 07:20:00,2016.0,4.0,3.0,7.0,2.0,48.0,22.604,0,0,3,7,0,1425.0,1,0.717,0.595,0,0.465,35,13.0,3.0,0
C34,PSLV,1,Success,2,2016-06-22 03:55:00,2016.0,6.0,2.0,3.0,2.0,54.0,22.752,0,2,3,7,3,1217.2,1,0.656,0.509,0,0.415,36,14.0,4.0,1
F05,GSLV,1,Success,2,2016-09-08 11:20:00,2016.0,9.0,3.0,11.0,3.0,377.0,22.968,1,2,0,0,0,2211.0,1,0.947,0.924,0,0.656,10,1.0,1.0,1
C35,PSLV,1,Success,2,2016-09-26 03:42:00,2016.0,9.0,0.0,3.0,3.0,95.0,23.014,0,0,3,5,3,665.25,1,0.495,0.278,0,0.281,37,12.0,5.0,1
C36,PSLV,1,Success,2,2016-12-07 04:55:00,2016.0,12.0,2.0,4.0,4.0,72.0,23.211,0,0,3,7,3,1235.0,1,0.661,0.516,0,0.419,38,15.0,6.0,0
C37,PSLV,1,Success,2,2017-02-15 03:58:00,2017.0,2.0,2.0,3.0,1.0,69.0,23.403,0,0,3,7,3,867.7,1,0.554,0.363,0,0.33,39,16.0,1.0,0
F09,GSLV,1,Success,2,2017-05-05 11:27:00,2017.0,5.0,4.0,11.0,2.0,239.0,23.622,1,2,0,2,0,2230.0,1,0.952,0.932,0,0.66,11,4.0,1.0,0
LVM3-D1,LVM3,1,Success,2,2017-06-05 11:58:00,2017.0,6.0,0.0,11.0,2.0,900.0,23.707,2,1,0,-1,0,1250.0,3,1.266,0.522,1,0.963,2,,1.0,1
C40,PSLV,1,Success,2,2018-01-12 03:59:00,2018.0,1.0,4.0,3.0,1.0,331.0,24.309,0,0,3,7,3,1177.07,1,0.644,0.492,0,0.405,40,17.0,1.0,0
F08,GSLV,1,Success,2,2018-03-29 11:26:00,2018.0,3.0,3.0,11.0,1.0,327.0,24.52,1,2,0,2,0,2140.0,1,0.926,0.894,0,0.639,12,5.0,1.0,0
C41,PSLV,1,Success,2,2018-04-11 22:34:00,2018.0,4.0,2.0,22.0,2.0,89.0,24.556,0,0,0,7,2,1425.0,1,0.717,0.595,0,0.465,41,18.0,2.0,0
C42,PSLV,1,Success,2,2018-09-16 16:38:00,2018.0,9.0,6.0,16.0,3.0,157.0,24.988,0,0,1,3,1,889.0,1,0.56,0.372,0,0.335,42,12.0,3.0,1
LVM3-D2,LVM3,1,Success,2,2018-11-14 11:38:00,2018.0,11.0,2.0,11.0,4.0,526.0,25.15,2,1,0,-1,0,1250.0,3,1.266,0.522,1,0.963,3,,1.0,0
C43,PSLV,1,Success,2,2018-11-29 04:28:00,2018.0,11.0,3.0,4.0,4.0,73.0,25.188,0,0,1,3,3,483.2,1,0.441,0.202,0,0.237,43,13.0,4.0,0
F11,GSLV,1,Success,2,2018-12-19 10:40:00,2018.0,12.0,2.0,10.0,4.0,264.0,25.246,1,2,0,2,0,2250.0,1,0.958,0.94,0,0.665,13,6.0,2.0,0
C44,PSLV,1,Success,2,2019-01-25 18:07:00,2019.0,1.0,4.0,18.0,1.0,57.0,25.347,0,0,1,4,2,741.2,1,0.517,0.31,0,0.3,44,1.0,1.0,0
C45,PSLV,1,Success,2,2019-04-01 03:57:00,2019.0,4.0,0.0,3.0,2.0,65.0,25.525,0,2,1,6,3,479.8,1,0.44,0.201,0,0.236,45,1.0,2.0,0
C46,PSLV,1,Success,2,2019-05-22 00:00:00,2019.0,5.0,2.0,0.0,2.0,50.0,25.665,0,0,1,3,3,615.0,1,0.48,0.257,0,0.269,46,14.0,3.0,0
LVM3-M1,LVM3,1,Success,2,2019-07-22 09:13:00,2019.0,7.0,0.0,9.0,3.0,249.0,25.834,2,1,3,-1,0,1250.0,3,1.266,0.522,1,0.963,4,,1.0,1
C47,PSLV,1,Success,2,2019-11-27 03:58:00,2019.0,11.0,2.0,3.0,4.0,189.0,26.182,0,2,1,7,3,630.5,1,0.484,0.263,0,0.273,47,19.0,4.0,0
C48,PSLV,1,Success,2,2019-12-11 09:55:00,2019.0,12.0,2.0,9.0,4.0,14.0,26.223,0,0,1,6,0,768.3,1,0.525,0.321,0,0.306,48,2.0,5.0,0
C49,PSLV,1,Success,2,2020-11-07 09:42:00,2020.0,11.0,5.0,9.0,4.0,331.0,27.132,0,0,1,4,0,882.0,4,1.458,0.369,1,0.994,49,2.0,1.0,0
C50,PSLV,1,Success,2,2020-12-17 10:11:00,2020.0,12.0,3.0,10.0,4.0,40.0,27.242,0,2,0,7,0,1684.0,1,0.793,0.704,0,0.528,50,20.0,2.0,0
C51,PSLV,1,Success,2,2021-02-28 04:54:00,2021.0,2.0,6.0,4.0,1.0,72.0,27.439,0,0,1,4,3,664.9,1,0.494,0.278,0,0.281,51,3.0,1.0,0
C52,PSLV,1,Success,2,2022-02-14 00:29:00,2022.0,2.0,0.0,0.0,1.0,350.0,28.4,0,0,1,7,3,1736.2,1,0.808,0.726,0,0.541,52,21.0,1.0,0
LVM3-M2,LVM3,1,Success,2,2022-10-22 18:37:00,2022.0,10.0,5.0,18.0,4.0,1188.0,29.087,2,1,1,-1,2,1250.0,3,1.266,0.522,1,0.963,5,,1.0,0
LVM3-M3,LVM3,1,Success,2,2023-03-26 03:30:00,2023.0,3.0,6.0,3.0,1.0,154.0,29.509,2,1,1,-1,3,1250.0,3,1.266,0.522,1,0.963,6,,1.0,0
LVM3-M4,LVM3,1,Success,2,2023-07-14 09:05:00,2023.0,7.0,4.0,9.0,3.0,110.0,29.812,2,1,3,-1,0,1250.0,3,1.266,0.522,1,0.963,7,,2.0,1
F14,GSLV,1,Success,2,2024-02-17 12:05:00,2024.0,2.0,5.0,12.0,1.0,1886.0,30.409,1,2,0,2,1,2275.0,1,0.965,0.951,0,0.671,14,7.0,1.0,0
C60,PSLV,1,Success,2,2024-12-30 16:30:00,2024.0,12.0,0.0,16.0,4.0,1050.0,31.277,0,0,1,3,1,440.0,1,0.429,0.184,0,0.227,53,15.0,1.0,0
C61,PSLV,0,Failure,0,2025-05-18 00:29:00,2025.0,5.0,6.0,0.0,2.0,138.0,31.655,0,0,1,7,3,697.0,1,0.504,0.291,0,0.289,54,22.0,1.0,0
LVM3-M5,LVM3,1,Success,2,2025-11-02 11:56:00,2025.0,11.0,6.0,11.0,4.0,842.0,32.118,2,1,0,-1,0,1250.0,3,1.266,0.522,1,0.963,8,,1.0,0
LVM3-M6,LVM3,1,Success,2,2025-12-24 03:25:00,2025.0,12.0,2.0,3.0,4.0,51.0,32.257,2,1,1,-1,3,1250.0,3,1.266,0.522,1,0.963,9,,2.0,0
C62,PSLV,0,Failure,0,2026-01-12 04:48:30,2026.0,1.0,0.0,4.0,1.0,239.0,32.309,0,0,1,4,3,1250.0,1,0.666,0.522,0,0.423,55,4.0,1.0,0
F10,GSLV,0,Failure,0,,2026.0,1.0,0.0,4.0,1.0,0.0,,1,2,0,2,-1,2268.0,1,0.963,0.948,0,0.67,15,8.0,,0
F12,GSLV,1,Success,2,,2026.0,1.0,0.0,4.0,1.0,0.0,,1,2,0,2,-1,2232.0,1,0.953,0.933,0,0.661,16,9.0,,0
F15,GSLV,1,Success,2,,2026.0,1.0,0.0,4.0,1.0,0.0,,1,2,0,2,-1,2250.0,1,0.958,0.94,0,0.665,17,10.0,,0
F16,GSLV,1,Success,2,,2026.0,1.0,0.0,4.0,1.0,0.0,,1,2,2,2,-1,2393.0,1,1.0,1.0,0,0.7,18,11.0,,0
C38,PSLV,1,Success,2,,2026.0,1.0,0.0,4.0,1.0,0.0,,0,0,3,7,-1,889.0,6,2.06,0.372,1,1.235,56,23.0,,0
C39,PSLV,0,Failure,0,,2026.0,1.0,0.0,4.0,1.0,0.0,,0,2,3,7,-1,1425.0,1,0.717,0.595,0,0.465,57,24.0,,0
C53,PSLV,1,Success,2,,2026.0,1.0,0.0,4.0,1.0,0.0,,0,2,1,3,-1,522.8,1,0.453,0.218,0,0.247,58,16.0,,0
C54,PSLV,1,Success,2,,2026.0,1.0,0.0,4.0,1.0,0.0,,0,0,1,7,-1,1171.16,1,0.643,0.489,0,0.404,59,25.0,,0
C55,PSLV,1,Success,2,,2026.0,1.0,0.0,4.0,1.0,0.0,,0,0,1,3,-1,757.0,1,0.521,0.316,0,0.303,60,17.0,,0
C56,PSLV,1,Success,2,,2026.0,1.0,0.0,4.0,1.0,0.0,,0,0,1,3,-1,410.0,1,0.42,0.171,0,0.219,61,18.0,,0
C57,PSLV,1,Success,2,,2026.0,1.0,0.0,4.0,1.0,0.0,,0,2,3,7,-1,1480.7,1,0.733,0.619,0,0.479,62,26.0,,0
C58,PSLV,1,Success,2,,2026.0,1.0,0.0,4.0,1.0,0.0,,0,0,1,4,-1,757.0,1,0.521,0.316,0,0.303,63,5.0,,0
C59,PSLV,1,Success,2,,2026.0,1.0,0.0,4.0,1.0,0.0,,0,0,3,7,-1,550.0,1,0.461,0.23,0,0.253,64,27.0,,0
