flight_number,date_time_utc,rocket_configuration,launch_site,payload,payload_mass,orbit,user,launch_outcome,remarks
C33,28 April 2016 07:20,PSLV-XL,First,IRNSS-1G,1425 kg,,,Success,"IRNSS-1G, last navigation satellite of the seven satellites constituting the IRNSS space segment launched. India's own navigational system, the set-up for which was completed will be called NAVIC (Navigation with Indian Constellation) [ 120 ] [ 121 ] [ 122 ] [ 123 ] [ 124 ]"
C34,22 June 2016 03:55,PSLV-XL,Second,Cartosat-2C LAPAN-A3 BIROS SkySat Gen2-1 GHGSat-D M3MSat Swayam SathyabamaSat 12 × Flock-2P Dove (satellite),727.5 kg 120 kg 130 kg 110 kg 25.5 kg 85 kg 1 kg 1.5 kg 12 × 4.7 kg,,,Success,ISRO's Cartosat-2C and 19 other satellites launched. [ 125 ] [ 126 ] [ 127 ] [ 128 ] [ 129 ] [ 130 ]
C35,26 September 2016 03:42,PSLV-G,First,ScatSat-1 ALSAT-2B ALSAT-1B Pathfinder-1 Pratham CanX-7 (NLS-19) [ 131 ] ALSAT-1N PISat,371 kg 117 kg 103 kg 44 kg 10 kg 8 kg 7 kg 5.25 kg,,,Success,ISRO's longest PSLV satellite launch mission. First mission of PSLV in which it launched its payloads into two different orbits. [ 132 ] [ 133 ] [ 134 ] [ 135 ] [ 136 ] [ 137 ]
C36,7 December 2016 04:55,PSLV-XL,First,Resourcesat-2A,1235 kg,,,Success,2017 [ edit ]
C37,15 February 2017 03:58,PSLV-XL,First,Cartosat-2D INS-1A INS-1B Nayif-1 CubeSats Al Farabi-1 PEASSS BGUSAT DIDO-2 Doves Flock-3P Lemur-2,730 kg 8.4 kg 9.7 kg 1.1 kg 1.7 kg 3 kg 4.3 kg 4.2 kg 4.7 kg x 88 4.6 kg x 8,,,Success,PSLV-C37 successfully carried and deployed a record 104 satellites in the sun-synchronous orbit. [ 144 ] [ 145 ] [ 146 ] [ 147 ] [ 148 ] [ 149 ]
C38,23 June 2017 03:59 [ 150 ] [ 151 ],PSLV-XL,First,"Cartosat-2E [ 152 ] NIUSAT [ 153 ] CESAT-1 [ 154 ] Lemur-2 × 8 , , Blue, Red, Green Diamonds , Max Valier Sat [ 155 ] Venta-1 D-Sat [ 156 ] Aalto-1 COMPASS-2/Dragsail QB50 InflateSail QB50 URSA MAIOR QB50 LituanicaSAT-2 QB50 PEGASUS QB50 NUDTSat QB50 VZLUSAT1 QB50 UCLSat QB50 SUCHAI ROBUSTA-1B skCUBE CICERO-6 Tyvak-53b (PacSciSat [ 157 ] ) KickSat Sprites × 6 (All flown with Venta-1 and Max Valier Sat )",727 kg 15 kg 60 kg 4 kg x 8 18 kg 15 kg 7.5 kg 4.5 kg 4 kg 4 kg 4 kg 3 kg 4 kg 2 kg 2 kg 2 kg 2 kg 1 kg 1 kg 1 kg ? kg ? kg,,,Success,Post mission PSLV fourth stage (PS4) was lowered to 350 km altitude and carried Ionization Density and Electric field Analyzer (IDEA) payload by Space Physics Laboratory to measure electron density and electric field measurements in the F region of the ionosphere [ 158 ] [ 159 ] [ 160 ] [ 161 ] [ 162 ] [ 163 ]
C39,31 August 2017 13:30 [ 164 ] [ 165 ] [ 166 ],PSLV-XL,Second,IRNSS-1H,1425 kg,,,Failure,2018 [ edit ]
C40,12 January 2018 03:59,PSLV-XL,First,Cartosat-2F [ 171 ] MICROSAT-TD INS-1C [ 172 ] LEO-1 [ 173 ] Carbonite-2 aka (VividX2) ICEYE X1 Landmapper-BC3 Arkyd 6A CICERO-7 4 x Doves Flock-3p' [ 174 ] 4 x Lemur-2 [ 175 ] PicSat SIGMA ( KHUSAT -03) [ 176 ] CANYVAL-X (Tom and Jerry) CNUSail 1 KAUSAT 5 STEP Cube Lab MicroMAS-2 Fox-1D 4 x SpaceBEE [ 177 ] Tyvak-61C (GeoStare) [ 178 ] DemoSat-2,710 kg ~120 kg 11 kg 168 kg 100 kg ?? kg 10 kg 10 kg 10 kg 4 x ?? kg 4 x ?? kg 3.5 kg 3.8 kg 4 kg 4 kg 3.2 kg 1 kg 3.8 kg 1.5 kg 1.27 kg 4 kg ? kg,,,Success,[ 179 ] [ 180 ] [ 181 ] [ 182 ] [ 183 ] [ 184 ] [ 185 ]
C41,11 April 2018 22:34,PSLV-XL,First,IRNSS-1I,~1425 kg,sub GTO,,Success,[ 186 ] [ 187 ] [ 188 ] [ 189 ] [ 190 ] [ 191 ] [ 192 ] [ 193 ]
C42,16 September 2018 16:38,PSLV-CA,First,NovaSAR-S (445 kg) SSTL S1-4 (444 kg),889 kg,Low Earth,SSTL,Success,[ 194 ] [ 195 ] [ 196 ] [ 197 ] [ 198 ] [ 199 ]
C43,29 November 2018 04:28,PSLV-CA,First,HySIS [ 200 ] Doves × 16 (Flock 3r) Global-1 Lemur-2 × 4 HSAT-1 CICERO-8 Hiber-1 FACSAT-1 Innosat-2 Centauri-1 CASE Reaktor Hello World ³Cat-1,380 kg 16 x ?? kg 55 kg 4 x ?? kg 13 kg 10 kg ?? kg ?? kg 4 kg ?? ?? ?? 1.2 kg,Low Earth,,Success,2019 [ edit ]
